month	region	url
2026-04	Calais area	https://humanrightsobservers.org/wp-content/uploads/2026/05/Monthly-report-Calais-area-April-English.pdf
2026-04	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2026/05/NM-DK-042026-1.pdf
2026-03	Calais area	https://humanrightsobservers.org/wp-content/uploads/2026/04/Note-mensuelle-Calaisis-Mars-2026-english-version.pdf
2026-03	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2026/04/Note-mensuelle-Dunkerquois-March-2026-English-version.pdf
2026-02	Calais area	https://humanrightsobservers.org/wp-content/uploads/2026/03/Monthly-report_Calais-area_feb_2026.pdf
2026-02	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2026/03/Monthly-report_Dunkirk-area_feb_2026.pdf
2026-01	Calais area	https://humanrightsobservers.org/wp-content/uploads/2026/02/Montlhy_report_HRO_KL_01_2026_EN.pdf
2026-01	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2026/02/Montlhy_report_HRO_DK_01_2026_EN.pdf
2025-12	Calais area	https://humanrightsobservers.org/wp-content/uploads/2026/01/Monthly-report-Calais-12-2025.pdf
2025-12	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2026/01/Monthly-Report-December-2025-Grande-Synthe.pdf
2025-11	Calais area	https://humanrightsobservers.org/fr/hro-montly-report-calais-area-nov-2025/
2025-11	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/12/NM-DK-1125-ENG.pdf
2025-10	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/12/Monthly-report-Calais-october-2025-1.pdf
2025-10	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/12/Note-mensuelle-GS-octobre-2025-FR.pdf
2025-09	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/11/Calais-September-1-1.pdf
2025-09	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/11/Dunkirk-September-2025.pdf
2025-08	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/10/EN-Note-Mensuelle-Calais-Aout-2025-2.pdf
2025-08	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/10/EN-NM-DK-aout-2025-2-1.pdf
2025-07	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/08/2025-07_Monthly_Report_Calaisis_EN-1.pdf
2025-07	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/08/2025-07_Monthly_Report_Dunkerquois_EN-1.pdf
2025-06	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/07/2025_06_Monthly_Report_Calaisis_EN.pdf
2025-06	Dunkirk area	https://humanrightsobservers.org/wp-content/uploads/2025/07/2025_06_Monthly_Report_Dunkerquois_EN.pdf
2025-05	Calais area	https://humanrightsobservers.org/wp-content/uploads/2025/06/2025-05_Monthly_Report_Calaisis_EN.pdf
